node, cluster/community
0,0
1,0
3,1
6,1
7,0
11,2
15,3
20,4
21,5
22,6
27,7
28,8
31,6
32,9
34,9
35,10
37,11
40,12
41,13
44,14
46,15
47,16
49,17
51,18
52,19
53,9
55,9
59,15
61,21
65,22
66,15
68,15
69,23
71,24
72,25
73,22
77,15
78,27
79,28
83,21
85,10
86,29
87,28
88,29
89,11
93,10
94,15
95,27
98,29
101,22
103,18
104,15
105,30
106,30
107,12
108,15
109,15
110,15
111,31
114,15
115,24
116,14
117,32
118,23
123,7
125,5
126,9
127,25
128,15
130,31
132,15
135,15
136,25
137,13
138,33
139,4
143,27
144,17
145,25
146,33
148,17
149,32
152,15
153,15
158,22
160,15
162,34
164,13
165,9
166,16
169,10
171,29
172,35
173,29
174,36
175,37
176,30
177,27
178,29
179,27
180,13
181,32
182,17
183,29
184,34
185,17
186,26
188,15
189,22
190,37
191,29
192,22
193,17
194,9
195,15
196,10
197,26
198,29
199,10
200,3
202,27
205,20
207,20
211,2
212,2
213,6
214,6
215,6
216,6
217,6
218,6
219,17
220,19
221,17
222,17
223,4
224,4
225,4
226,4
227,4
228,21
229,30
230,30
231,30
232,30
233,3
234,30
235,30
236,30
237,30
238,10
239,10
240,10
241,10
242,3
243,10
244,10
245,10
246,10
247,10
248,27
250,25
251,25
252,7
253,27
254,27
255,7
256,7
257,32
258,32
259,15
260,32
261,32
262,32
263,32
264,32
265,7
266,7
267,7
268,7
269,7
270,7
271,22
272,22
273,22
274,22
275,22
276,36
277,15
278,15
279,15
280,15
281,15
282,15
283,15
284,15
285,15
286,15
287,15
288,15
289,34
290,34
291,3
292,34
293,34
294,13
295,22
296,22
297,3
298,22
299,22
300,22
301,14
302,23
303,23
304,23
305,3
306,15
307,15
308,8
309,8
310,13
311,13
312,13
313,3
314,13
315,13
316,13
317,37
318,35
319,18
320,18
321,18
322,18
323,30
324,30
325,7
326,28
327,25
328,17
329,5
330,5
331,9
332,9
333,9
334,9
335,9
336,9
337,9
338,12
339,12
340,12
341,12
342,12
343,27
344,27
345,27
346,27
347,27
348,3
349,27
350,27
351,27
352,27
353,25
354,18
355,7
356,27
357,27
358,27
359,16
360,16
361,16
362,16
363,16
364,16
365,29
366,29
367,29
368,29
369,29
370,29
371,29
372,29
373,31
374,31
375,3
376,31
377,31
378,31
379,24
380,33
381,33
382,33
383,33
384,33
385,11
386,11
387,11
388,11
389,11
390,21
391,9
392,3
393,9
394,9
395,9
396,8
397,8
398,12
399,3
400,3
401,3
402,12
403,18
404,18
405,3
406,18
407,18
408,18
409,30
410,7
411,3
412,3
413,13
414,13
415,3
416,3
417,13
418,13
419,13
420,7
421,7
422,7
423,3
424,7
425,7
426,29
427,29
428,3
429,3
430,29
431,29
432,3
433,31
434,3
435,3
436,31
437,14
438,24
439,3
440,3
441,3
442,22
443,22
444,22
445,22
446,22
447,22
448,22
449,3
450,36
451,4
452,3
453,3
454,3
455,4
456,11
457,3
458,3
459,3
460,11
461,30
462,30
463,30
464,3
465,30
466,30
467,3
468,10
469,10
470,10
471,10
472,3
473,3
474,3
475,10
476,26
477,26
478,3
479,17
480,3
481,17
482,17
483,5
484,5
485,15
486,15
487,15
488,15
489,15
490,15
491,3
492,3
493,3
494,3
495,3
496,37
497,35
498,33
499,3
500,3
501,3
502,33
503,32
504,32
505,32
506,3
507,32
508,3
509,3
510,3
511,23
512,23
513,23
514,3
515,16
516,3
517,3
518,16
519,16
520,16
521,6
522,6
523,3
524,6
525,6
526,3
527,34
528,34
529,3
530,34
531,34
532,27
533,3
534,3
535,18
536,3
537,27
538,27
539,27
540,27
541,3
542,27
543,3
544,18
545,17
